stem,symbol,name,sector,industry
A,A,"Agilent Technologies, Inc.",Health Care,Diagnostics & Research
AAOI,AAOI,"Applied Optoelectronics, Inc.",Information Technology,Communication Equipment
AAPL,AAPL,Apple Inc.,Information Technology,Consumer Electronics
ABBV,ABBV,AbbVie Inc.,Health Care,Drug Manufacturers - General
ABNB,ABNB,"Airbnb, Inc.",Consumer Discretionary,Travel Services
ABT,ABT,Abbott Laboratories,Health Care,Medical Devices
ACGL,ACGL,Arch Capital Group Ltd.,Financials,Insurance - Diversified
ACN,ACN,Accenture plc,Information Technology,Information Technology Services
ADBE,ADBE,Adobe Inc.,Information Technology,Software - Application
ADI,ADI,"Analog Devices, Inc.",Information Technology,Semiconductors
ADM,ADM,Archer-Daniels-Midland Company,Consumer Staples,Farm Products
ADP,ADP,"Automatic Data Processing, Inc.",Information Technology,Software - Application
ADSK,ADSK,"Autodesk, Inc.",Information Technology,Software - Application
AEE,AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric
AEP,AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric
AES,AES,The AES Corporation,Utilities,Utilities - Diversified
AEVA,AEVA,"Aeva Technologies, Inc.",Information Technology,Software - Infrastructure
AFL,AFL,Aflac Incorporated,Financials,Insurance - Life
AIG,AIG,"American International Group, Inc.",Financials,Insurance - Diversified
AIZ,AIZ,"Assurant, Inc.",Financials,Insurance - Property & Casualty
AJG,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers
AKAM,AKAM,"Akamai Technologies, Inc.",Information Technology,Software - Infrastructure
ALAB,ALAB,"Astera Labs, Inc.",Information Technology,Semiconductors
ALB,ALB,Albemarle Corporation,Materials,Specialty Chemicals
ALGM,ALGM,"Allegro MicroSystems, Inc.",Information Technology,Semiconductors
ALGN,ALGN,"Align Technology, Inc.",Health Care,Medical Instruments & Supplies
ALL,ALL,The Allstate Corporation,Financials,Insurance - Property & Casualty
ALLE,ALLE,Allegion plc,Industrials,Security & Protection Services
ALNT,ALNT,Allient Inc.,Information Technology,Electronic Components
AMAT,AMAT,"Applied Materials, Inc.",Information Technology,Semiconductor Equipment & Materials
AMBA,AMBA,"Ambarella, Inc.",Information Technology,Semiconductor Equipment & Materials
AMBQ,AMBQ,"Ambiq Micro, Inc.",Information Technology,Semiconductors
AMCR,AMCR,Amcor plc,Consumer Discretionary,Packaging & Containers
AMD,AMD,"Advanced Micro Devices, Inc.",Information Technology,Semiconductors
AME,AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery
AMGN,AMGN,Amgen Inc.,Health Care,Drug Manufacturers - General
AMP,AMP,"Ameriprise Financial, Inc.",Financials,Asset Management
AMT,AMT,American Tower Corporation,Real Estate,REIT - Specialty
AMZN,AMZN,"Amazon.com, Inc.",Consumer Discretionary,Internet Retail
ANET,ANET,"Arista Networks, Inc.",Information Technology,Computer Hardware
AON,AON,Aon plc,Financials,Insurance Brokers
AOS,AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery
AOSL,AOSL,Alpha and Omega Semiconductor Limited,Information Technology,Semiconductors
APA,APA,APA Corporation,Energy,Oil & Gas E&P
APD,APD,"Air Products and Chemicals, Inc.",Materials,Specialty Chemicals
APH,APH,Amphenol Corporation,Information Technology,Electronic Components
APLD,APLD,Applied Digital Corporation,Information Technology,Information Technology Services
APO,APO,"Apollo Global Management, Inc.",Financials,Asset Management
APP,APP,AppLovin Corporation,Communication Services,Advertising Agencies
APTV,APTV,Aptiv PLC,Consumer Discretionary,Auto Parts
ARBE,ARBE,Arbe Robotics Ltd.,Information Technology,Scientific & Technical Instruments
ARE,ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office
ARES,ARES,Ares Management Corporation,Financials,Asset Management
ARM,ARM,Arm Holdings plc,Information Technology,Semiconductors
ARRY,ARRY,"Array Technologies, Inc.",Information Technology,Solar
ASML,ASML,ASML Holding N.V.,Information Technology,Semiconductor Equipment & Materials
ASTS,ASTS,"AST SpaceMobile, Inc.",Information Technology,Communication Equipment
ATO,ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas
AUR,AUR,"Aurora Innovation, Inc.",Consumer Discretionary,Auto Parts
AVAV,AVAV,"AeroVironment, Inc.",Industrials,Aerospace & Defense
AVB,AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential
AVGO,AVGO,Broadcom Inc.,Information Technology,Semiconductors
AVY,AVY,Avery Dennison Corporation,Consumer Discretionary,Packaging & Containers
AWK,AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water
AXON,AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense
AXP,AXP,American Express Company,Financials,Credit Services
AXTI,AXTI,"AXT, Inc.",Information Technology,Semiconductor Equipment & Materials
AZO,AZO,"AutoZone, Inc.",Consumer Discretionary,Auto Parts
BA,BA,The Boeing Company,Industrials,Aerospace & Defense
BAC,BAC,Bank of America Corporation,Financials,Banks - Diversified
BALL,BALL,Ball Corporation,Consumer Discretionary,Packaging & Containers
BAX,BAX,Baxter International Inc.,Health Care,Medical Instruments & Supplies
BBY,BBY,"Best Buy Co., Inc.",Consumer Discretionary,Specialty Retail
BDX,BDX,"Becton, Dickinson and Company",Health Care,Medical Instruments & Supplies
BE,BE,Bloom Energy Corporation,Industrials,Electrical Equipment & Parts
BEN,BEN,"Franklin Resources, Inc.",Financials,Asset Management
BEP,BEP,Brookfield Renewable Partners L.P.,Utilities,Utilities - Renewable
BF-B,BF-B,Brown-Forman Corporation,Consumer Staples,Beverages - Wineries & Distilleries
